"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0001944","vasculature development",358,-0.344433305754966,-1.62281352592547,1.82061910834213e-05,0.000810350562741897,0.000649194445211471,981,"tags=20%, list=10%, signal=19%","3988/5754/90993/6733/5335/196/2185/6692/60626/185/6774/64783/657/5315/2022/4162/3678/4638/5291/3685/10672/652/3516/7798/7837/1432/144165/23670/1000/3688/102/5747/3491/93649/9021/1490/306/4643/29775/1969/6443/4879/1282/3340/3696/133/4017/2246/1284/25932/3091/1278/4883/2969/147372/3949/8503/23576/3815/5159/2316/7057/51421/6678/4627/7070/857/1277/1295/7042/71/10769/800"
"GO:0001568","blood vessel development",341,-0.341615204246218,-1.59930513578398,1.81829717320365e-05,0.000810350562741897,0.000649194445211471,981,"tags=20%, list=10%, signal=19%","3988/5754/90993/6733/5335/196/2185/6692/185/6774/64783/657/5315/2022/4162/3678/4638/5291/3685/10672/652/3516/7798/7837/1432/144165/23670/1000/3688/5747/3491/93649/9021/1490/306/4643/29775/1969/4879/1282/3340/3696/133/4017/2246/1284/25932/3091/1278/4883/2969/147372/3949/8503/23576/5159/2316/7057/51421/6678/4627/7070/857/1277/1295/7042/71/10769/800"
"GO:0036499","PERK-mediated unfolded protein response",16,0.791542081585547,2.12920505584001,1.85717772497551e-05,0.000818750065610631,0.000655923521312152,71,"tags=25%, list=1%, signal=25%","3309/1649/23645/468"
"GO:0030433","ubiquitin-dependent ERAD pathway",74,0.537720063312979,2.01919894219311,1.96171269196618e-05,0.000856676231236929,0.000686307230764335,974,"tags=27%, list=10%, signal=24%","3309/9709/4189/84447/7184/7706/27248/55829/550/91319/10869/7917/821/9695/54431/11160/10134/83590/115290/55139"
"GO:0030048","actin filament-based movement",58,-0.570108839921394,-2.05833718232823,2.12365455275084e-05,0.000918728684549872,0.000736019182424122,928,"tags=31%, list=10%, signal=28%","9839/4641/7341/4637/1829/5318/54874/4430/70/122786/476/4643/817/4628/2316/7168/4627/857"
"GO:0042273","ribosomal large subunit biogenesis",73,0.53766006381771,2.00645015855649,2.25421791314419e-05,0.000966182844439302,0.00077403603391881,1941,"tags=37%, list=20%, signal=30%","6134/4736/6175/54680/3692/54475/9326/55651/9045/6125/6130/6129/51187/6128/6147/4869/6154/6135/6165/11224/55759/51491/10412/6152/54663/10969/2971"
"GO:0007091","metaphase/anaphase transition of mitotic cell cycle",84,-0.515343074352283,-2.01021324615223,2.3457330621313e-05,0.000996183334367503,0.000798070263436848,1413,"tags=38%, list=15%, signal=33%","51143/83540/7272/5925/7175/6597/996/9735/55193/324/7756/9319/10783/8697/332/6599/5885/11130/701/5347/10403/26271/699/51776/9700/1063/891/10460/54908/55143/9787/60"
"GO:0035329","hippo signaling",33,-0.662039877955837,-2.13180901181169,2.4534985844398e-05,0.00103247681339744,0.000827145982103483,2055,"tags=64%, list=21%, signal=50%","6714/7004/80014/9686/6788/7003/10413/11113/7005/154796/4771/92597/60485/25937/1432/55233/122786/29970/81788/84962/51421"
"GO:0001525","angiogenesis",254,-0.376199633192233,-1.69844234693581,2.48046931577751e-05,0.00103442274439046,0.000828704921714951,968,"tags=21%, list=10%, signal=20%","90993/6733/5335/2185/185/6774/64783/657/5315/2022/4162/3678/5291/3685/10672/652/3516/7837/1432/23670/3688/5747/3491/1490/306/29775/1969/4879/1282/3696/133/4017/2246/1284/25932/3091/4883/2969/147372/8503/23576/5159/2316/7057/51421/6678/4627/7070/857/1295/7042/71/10769/800"
"GO:0006418","tRNA aminoacylation for protein translation",41,0.627321314437087,2.1049796006928,2.52992492344468e-05,0.00103637366996685,0.000830267862626513,1575,"tags=41%, list=16%, signal=35%","2617/7453/6301/16/4141/833/8565/4677/3376/2058/1615/25973/7407/80755/51520/2193/55152"
"GO:1901990","regulation of mitotic cell cycle phase transition",260,-0.371697644334939,-1.68217077864657,2.5167941802345e-05,0.00103637366996685,0.000830267862626513,1892,"tags=34%, list=20%, signal=28%","51379/57551/9183/1029/79184/51514/1062/3398/5933/7157/672/57082/29945/79577/6118/7027/995/9344/5371/5515/55904/51143/83540/1642/7272/5925/163859/7175/26057/8451/55031/6597/90381/63967/8317/9735/2146/55193/25793/55743/324/7756/994/6491/1654/51343/2068/1031/9319/10783/8697/332/6599/5885/9928/11130/701/11073/25959/5347/900/26060/29980/10403/26271/699/5962/6240/51776/983/9700/1030/1063/3306/891/580/51512/8450/29766/54908/6241/55143/79960/1021/6790/9787/54443/10769/60"
"GO:0043038","amino acid activation",45,0.613531511811225,2.10799305342078,3.01829813739465e-05,0.00121786556421617,0.000975666082871957,1575,"tags=40%, list=16%, signal=34%","2617/7453/6301/16/4141/833/8565/4677/3376/2058/1615/25973/132949/7407/80755/51520/2193/55152"
"GO:0042254","ribosome biogenesis",303,0.356629424473925,1.626728739897,3.02558954169064e-05,0.00121786556421617,0.000975666082871957,1648,"tags=24%, list=17%, signal=21%","57602/6134/4736/6175/6223/6193/54680/387338/6194/6208/3921/3692/54475/6202/79631/9326/55651/9045/55781/10528/6125/6217/6210/5394/6203/6130/5591/56915/6129/134430/10514/6205/10436/51187/6189/9277/6128/6191/6147/6218/6207/6209/4869/79922/6154/6232/65083/6135/64745/6206/84881/6165/8780/79033/27043/27042/6230/11224/25983/11137/23223/55759/10600/29081/1983/51602/51491/51065/6234/10412/10360/6152/1736"
"GO:0042594","response to starvation",152,0.436283167572734,1.84840140102368,3.18014399632118e-05,0.00126904194473886,0.00101666490916874,1770,"tags=30%, list=18%, signal=25%","3309/440/1649/81631/55062/5106/1026/468/83667/123/8678/3428/643246/8565/10641/26001/11152/6422/8428/84706/4149/10514/55846/790/158/201163/7378/2629/5366/10991/355/23334/7494/84879/10325/84219/27072/51520/10533/51256/96459/1312/6513/11337/6667/26608"
"GO:0051494","negative regulation of cytoskeleton organization",95,-0.48186414431358,-1.90943200088918,3.31696303271812e-05,0.00127951848987102,0.00102505796177771,1225,"tags=32%, list=13%, signal=28%","23122/5295/10382/6840/8500/136319/4233/2059/324/51571/5062/2764/6711/25959/130271/899/10432/5962/120/829/7114/830/23075/118/29766/22919/4281/26586/22974/51474"
"GO:2001242","regulation of intrinsic apoptotic signaling pathway",128,0.446640503566874,1.82984359938257,3.30306221890741e-05,0.00127951848987102,0.00102505796177771,1380,"tags=30%, list=14%, signal=26%","9709/1649/5329/960/84447/5831/468/10399/3303/7314/9181/10525/8678/1687/4282/55829/10488/5034/10131/2876/4193/1540/10134/598/7178/10961/201163/6154/51657/6135/10955/6188/5366/10105/7494/51079/5478/6591/2907"
"GO:0032956","regulation of actin cytoskeleton organization",194,-0.399849698092347,-1.75785917570243,3.30409569197179e-05,0.00127951848987102,0.00102505796177771,1938,"tags=39%, list=20%, signal=32%","23406/5058/57551/51429/55243/57704/11214/3925/832/7046/3690/27236/55971/1613/4739/2885/11135/10458/83700/9344/23580/10109/2909/1906/64857/23122/5295/6840/274/8500/55704/9037/136319/4233/4771/2185/1955/2059/10152/998/4088/10787/23500/6281/51571/5062/27067/10602/2764/6711/25959/10979/130271/23607/5962/120/829/7114/1073/1490/830/23075/1398/10092/118/6385/29766/1894/11034/5159/2316/9948/51474/7168/71"
"GO:0001667","ameboidal-type cell migration",236,-0.381094159945167,-1.71272101820318,3.25366447736771e-05,0.00127951848987102,0.00102505796177771,985,"tags=18%, list=10%, signal=17%","4233/5335/9839/2185/60626/5586/998/309/23500/152007/5291/10672/652/25959/9590/26060/1000/84159/3688/5747/3146/7114/306/23603/10487/29775/1969/8754/6385/4017/2246/3091/147372/8503/3815/7057/51421/6678/4627/54443/7042/10769/11167"
"GO:1902235","regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway",25,0.712870400322079,2.12394019313119,3.38911394004127e-05,0.00129654615111166,0.00103869929628233,1380,"tags=52%, list=14%, signal=45%","9709/1649/84447/3303/10525/55829/10488/598/10961/10955/5366/7494/2907"
"GO:0072698","protein localization to microtubule cytoskeleton",44,-0.620424014436329,-2.13604561767443,3.55190167893501e-05,0.00134768466162214,0.00107966778385574,2648,"tags=57%, list=27%, signal=41%","25/4130/55968/2804/585/5108/2932/10982/1453/22994/7272/23636/55125/324/6491/9585/4926/26005/3192/22919/10615/1729/4281/81610/6790"
"GO:0048738","cardiac muscle tissue development",111,-0.46480180716723,-1.88446520668175,3.64733398568471e-05,0.00137264300973452,0.00109966261288552,2046,"tags=41%, list=21%, signal=32%","10818/1525/409/5339/11214/8324/3398/6722/9686/7046/10413/65009/4211/50507/1906/8841/2065/998/657/205428/57158/1829/60485/2022/115701/5318/652/3516/1432/144165/70/3688/983/93649/1301/4000/10611/6443/3192/4879/5573/5997/5159/7168/7042"
"GO:0045132","meiotic chromosome segregation",48,-0.601277802838463,-2.10650302764355,3.83274914723137e-05,0.00139955007531313,0.0011212186138482,1402,"tags=46%, list=14%, signal=39%","83540/1642/7272/55706/55743/23397/5518/9319/56776/10592/259266/5347/10403/26271/9700/9134/83990/9133/10051/10096/6790/10097"
"GO:0033865","nucleoside bisphosphate metabolic process",72,-0.505510944692371,-1.8970878505664,3.87000236854787e-05,0.00139955007531313,0.0011212186138482,1008,"tags=32%, list=10%, signal=29%","23597/38/57678/8050/6576/8803/10157/1738/55229/84188/8460/5538/109703458/2182/4598/54898/201562/2181/4597/47/55902/3157/3156"
"GO:0033875","ribonucleoside bisphosphate metabolic process",72,-0.505510944692371,-1.8970878505664,3.87000236854787e-05,0.00139955007531313,0.0011212186138482,1008,"tags=32%, list=10%, signal=29%","23597/38/57678/8050/6576/8803/10157/1738/55229/84188/8460/5538/109703458/2182/4598/54898/201562/2181/4597/47/55902/3157/3156"
"GO:0034032","purine nucleoside bisphosphate metabolic process",72,-0.505510944692371,-1.8970878505664,3.87000236854787e-05,0.00139955007531313,0.0011212186138482,1008,"tags=32%, list=10%, signal=29%","23597/38/57678/8050/6576/8803/10157/1738/55229/84188/8460/5538/109703458/2182/4598/54898/201562/2181/4597/47/55902/3157/3156"
