"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009611","response to wounding","30/338","290/8747",0.103448275862069,2.67710671291573,5.82294169223856,7.38906464386335e-07,0.00017251002921873,0.000150062828626951,"VCL/ACTG1/TGFB2/SERPINE2/ACTB/DDIT3/THBS1/PLAUR/TMEM97/TPM1/CNN2/CD44/SLC7A11/CAV1/MYH9/FOSL1/FLNA/MYL9/CDKN1A/ANGPTL4/ZFP36L1/FGF1/NRP1/CLDN1/DHFR/MYH10/SERPINB2/CCN2/MATN2/AJUBA",30
"GO:0006694","steroid biosynthetic process","15/338","88/8747",0.170454545454545,4.41114174287251,6.44760083172671,1.14480347665752e-06,0.000250568860953415,0.000217964556674136,"HMGCR/HMGCS1/INSIG1/DHCR24/IDI1/MSMO1/ACLY/LSS/FDPS/MVD/CYP51A1/FGF1/STARD4/TM7SF2/ADM",15
"GO:0001525","angiogenesis","28/338","272/8747",0.102941176470588,2.6639836407936,5.58926320139805,1.9390284512208e-06,0.000399439860951486,0.000347464293364273,"PLK2/ACTG1/TGFB2/COL8A1/WARS1/THBS1/CTNND1/SAT1/AMOTL2/THY1/CAV1/MYH9/SARS1/GREM1/ANGPTL4/PIK3R3/FGF1/AKT3/HMGA2/DDAH1/NRP1/PDGFRB/CDH13/CCN2/CCBE1/ADM/ARHGAP22/CXCL8",28
"GO:0000902","cell morphogenesis","41/338","492/8747",0.0833333333333333,2.15655818540434,5.29398138173917,2.22190093691322e-06,0.000432283171170561,0.000376033994820284,"VCL/ACTG1/TGFB2/ACTB/KALRN/AMOTL2/TUBA1A/THY1/TPM1/CD44/MYH9/FLOT1/FLNA/GREM1/L1CAM/KIT/TPM4/EGFR/ACTN1/ECT2/ATF4/PALLD/ATG16L1/MYO10/ABITRAM/NRP1/VDR/C12orf57/ARHGEF2/SLC9A6/MYH10/UCHL1/ABLIM1/CDH13/CNP/MATN2/NEXN/DBN1/NEDD4L/DIAPH1/PDLIM5",41
"GO:0048878","chemical homeostasis","41/338","498/8747",0.0823293172690763,2.13057555666453,5.20840229563179,3.0210332603429e-06,0.000556824130406361,0.00048436954323725,"INSIG1/STC2/MT2A/FTL/HERPUD1/DDIT3/SLC39A10/TMEM97/THY1/COL1A1/SLC7A11/CAV1/SLC39A14/PCK2/FLNA/NT5E/PRNP/LIMA1/ANGPTL4/ATF4/CMKLR2/RAB30/SESN2/CNNM3/SLC4A8/VDR/LDLR/ABCA1/ABHD4/SLC9A6/MT1E/NPC1/TMC6/PCSK9/ATP6V1A/PLCB4/SLC22A17/DIAPH1/HKDC1/ACACA/IGF1R",41
"GO:0098739","import across plasma membrane","13/338","76/8747",0.171052631578947,4.42661943319838,6.01490797130789,5.73917033340565e-06,0.00100492872537933,0.000874166260256629,"SLC38A1/SLC3A2/THBS1/SLC39A10/SLC7A11/SLC6A9/SLC39A14/PRNP/SLC2A3/SLC9A6/PCSK9/NEDD4L/SLC43A2",13
"GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","12/338","69/8747",0.173913043478261,4.50064316953949,5.85266244943384,1.10333295145101e-05,0.00183993904570545,0.00160052409097706,"TGFB2/TRO/L1CAM/PALLD/CLDN1/CADM1/CDH13/DSC3/NECTIN2/CLSTN2/NEXN/AJUBA",12
"GO:0055001","muscle cell development","14/338","93/8747",0.150537634408602,3.89571801234332,5.62833847301958,1.17606823266669e-05,0.00187208679581762,0.00162848873939589,"LOX/ACTG1/TPM1/MYL9/ACTN1/DNER/TMOD3/SMYD3/PDGFRB/RCAN1/MYH10/UCHL1/ADM/PDLIM5",14
"GO:0030036","actin cytoskeleton organization","34/338","406/8747",0.083743842364532,2.16718162474131,4.82817839467963,1.57079695593362e-05,0.00220116819721862,0.00191474969573798,"CALD1/ACTG1/TGFB2/AIF1L/ACTB/AMOTL2/TPM1/CNN2/ANLN/MYH9/ACTR2/FLNA/MYL9/LIMA1/KIT/TPM4/PREX1/ACTN1/ECT2/PALLD/ZYX/ABITRAM/NRP1/TMOD3/RND3/PDGFRB/ARHGEF2/MYH10/ABL2/SIGLEC15/CCN2/DBN1/DIAPH1/PDLIM5",34
"GO:0030334","regulation of cell migration","38/338","478/8747",0.0794979079497908,2.0573023693397,4.76625822986482,1.60398193595446e-05,0.00220116819721862,0.00191474969573798,"HSPA5/PLK2/VCL/ACTG1/TGFB2/SERPINE2/THBS1/AMOTL2/THY1/TPM1/CNN2/COL1A1/CAV1/FLNA/GREM1/LIMA1/KIT/PREX1/EGFR/PIK3R3/FGF1/AKT3/NRP1/CLDN1/PDGFRB/ARHGEF2/ABL2/CDH13/BEX4/TCAF1/ARID4B/CCBE1/NEXN/AJUBA/CXCL8/MYOCD/IGF1R/RIGI",38
