,control_rep1,control_rep2,pfos50_rep1,pfos50_rep2
ENSG00000000003.18,191.170429525466,156.071964499991,312.352478447172,209.155901241422
ENSG00000000419.16,93.0685028323353,65.4549033514325,89.9264251935969,81.8543725994597
ENSG00000000457.16,11.4708606260019,26.1829211120897,15.7366209048587,9.07677790751682
ENSG00000000460.19,100.367021828079,79.2832644018087,74.4203726930747,68.0344768864775
ENSG00000001036.16,192.249223802046,193.016393351891,209.771226273431,226.14137420239
ENSG00000001084.15,30.8224948752148,52.9685252274944,25.6885932563603,15.1073807873945
ENSG00000001167.17,59.5322686078858,46.8384588218919,60.5187886379097,55.1865860114948
ENSG00000001461.21,43.0820583483113,37.5887022086014,84.442956176597,97.7831949244509
ENSG00000001497.20,268.018109481972,240.172186128329,239.583583172975,245.465964417084
ENSG00000001561.9,60.6567899999861,55.4578401834489,72.3212293080504,68.7926746011798
ENSG00000001629.12,57.3212330361477,61.3446795262196,48.7214257881418,39.1558067992726
ENSG00000001630.20,517.809190698794,383.504195528439,190.412473247016,172.423769174132
ENSG00000001631.19,65.9004375687134,31.0747060797414,76.4233264408404,80.2990394454175
ENSG00000002330.16,49.2178747718383,28.9490018517832,40.6865615229792,33.897003134581
ENSG00000002549.15,175.463001372796,187.817418158457,144.811654523655,130.815500838109
ENSG00000002586.22,83.796812068749,65.8856121226852,67.4196214533189,68.187324936338
ENSG00000002822.18,35.9412378356396,57.3891547696077,35.4765841388242,28.4063380525256
ENSG00000002834.21,671.731339667089,406.699649000249,284.380096614015,251.608069519558
ENSG00000002919.17,71.7431540707334,97.4857163777752,40.1230486547749,49.3126053711759
ENSG00000003056.10,365.265845254665,288.041216737851,296.702212234287,343.209540370028
ENSG00000003249.17,38.0692204892505,31.4754704126749,34.1264991841568,32.9451540277709
ENSG00000003393.18,119.373257308762,138.229757655067,128.773139132004,61.0001410284807
ENSG00000003402.23,76.3240099718881,55.3412975912608,75.3693509620536,51.20692173582
ENSG00000003436.18,108.481188200313,125.161827490547,173.529852011386,112.390887482011
ENSG00000003509.18,26.445133604661,30.2414925851906,33.0578080942724,26.9615371680362
ENSG00000003756.19,119.907395043041,119.97365947925,144.810540133588,109.244889431971
ENSG00000003989.20,14.3311702024288,10.6168256721599,15.1216277926361,22.990475183188
ENSG00000004059.13,102.687650978708,96.2194155420385,132.709682155845,116.080996255005
ENSG00000004142.14,361.825220990097,299.681359100628,273.985892024626,257.413393206414
ENSG00000004455.20,358.936434416464,256.04129971546,414.636924288088,367.392220922264
ENSG00000004478.10,295.164980084351,239.35670683386,208.130160110972,254.689151272874
ENSG00000004487.20,83.2963561656939,59.4036383649423,44.9893227149739,56.7118841595547
ENSG00000004534.17,84.4862733662109,60.0404939872306,60.0233848433735,72.0270815567346
