gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000101255.15,527.272084919937,3.86470461421594,0.264877167570227,14.5905539902426,3.22567569482193e-48,3.3076078574704e-44
ENSG00000163430.15,2457.89739790601,-1.97865534608411,0.178301708425097,-11.0972315608256,1.29389849719864e-28,6.6338175951374e-25
ENSG00000106484.17,381.177079793305,-2.8922985850832,0.285844275755374,-10.1184415095947,4.57644465618953e-24,1.56422878348558e-20
ENSG00000113083.17,1034.31327089937,2.16453392386573,0.21749226591895,9.95223400115002,2.46584535322195e-23,4.78161303165003e-20
ENSG00000113161.19,570.073595873949,-2.27381503872724,0.228654075748575,-9.94434510420666,2.6692390765702e-23,4.78161303165003e-20
ENSG00000163661.6,130.482991234537,4.33455230252647,0.436086727976165,9.93965655098631,2.79790113028088e-23,4.78161303165003e-20
ENSG00000293352.2,105.712234908534,6.24675840356477,0.630380683735008,9.90950161504426,3.78529650082087e-23,5.5449186170596e-20
ENSG00000112972.16,159.217033693486,-3.67900524561549,0.378069984113513,-9.73101647897784,2.22359728709617e-22,2.85009582273552e-19
ENSG00000044574.11,5174.89521171012,1.72259474099566,0.178759397920172,9.63638701538323,5.61287905185495e-22,6.39494019974674e-19
ENSG00000122786.22,999.449900072506,-1.9505784196194,0.203330801426066,-9.59312807473811,8.54541418152842e-22,8.76246770173924e-19
ENSG00000070669.19,263.045561303252,2.8139090347775,0.294945733383501,9.5404297003976,1.42241708502076e-21,1.32595134452754e-18
ENSG00000196611.7,106.002729878729,6.43891728923842,0.679265394357173,9.47923645563001,2.56150473952168e-21,2.18880579992128e-18
ENSG00000186480.15,940.353991554595,-1.88575620311366,0.205746121695503,-9.16545200256318,4.93397612511116e-20,3.89176855283768e-17
ENSG00000145632.17,1682.54132809796,-1.75751889192409,0.194308392127959,-9.04499735022616,1.496688005154e-19,1.09621705748922e-16
ENSG00000214517.12,1644.71906756097,-1.70013956727139,0.190079569795867,-8.94435719260741,3.74120766508196e-19,2.55748955985003e-16
ENSG00000182199.13,751.497699372267,1.86375711795263,0.208565697244596,8.9360673522785,4.03266230182024e-19,2.58443245267904e-16
ENSG00000113739.12,678.569605475428,1.90477343949323,0.214217135152513,8.89178840962987,6.01331187699638e-19,3.62708823451299e-16
ENSG00000035403.20,565.100273571423,-2.01030382457052,0.226458841826129,-8.87712667061148,6.86096523602812e-19,3.90846319612402e-16
ENSG00000184009.15,5439.14495921355,-1.66649952538947,0.189499787853298,-8.79420259129575,1.44067431084111e-18,7.7750917807183e-16
ENSG00000092969.13,343.051822455828,-2.21522542847923,0.26681549703911,-8.30246163758065,1.01976083591702e-16,5.22831380574656e-14
ENSG00000135919.16,450.796716466451,2.18780024896411,0.264022681474191,8.28641023092546,1.1671771427703e-16,5.69915924855556e-14
ENSG00000125148.9,238.367473938004,2.73455527593174,0.331845194298439,8.24045465450516,1.71557477272444e-16,7.99613805432565e-14
ENSG00000087086.18,3183.92619817218,1.54926384360487,0.188465227819817,8.2204227354133,2.02787099028699e-16,9.04077788452297e-14
ENSG00000126878.15,218.076767262022,-2.71633717708505,0.331163590038494,-8.20240285705717,2.35629127894459e-16,1.00672544892907e-13
ENSG00000075624.19,5480.18055763891,-1.33738241089663,0.165544453362446,-8.07869054947158,6.54659176993749e-16,2.68515008035756e-13
ENSG00000111371.18,569.11770296462,1.76308333203705,0.221567506227014,7.95731902235981,1.75806997780818e-15,6.9335575201712e-13
ENSG00000144810.18,331.719257261766,-2.17374487220826,0.276736426067447,-7.85492861600541,3.99999899029686e-15,1.5191107276483e-12
ENSG00000051108.17,529.078260606008,1.85753657081631,0.238081664311887,7.80209839420031,6.08861433825587e-15,2.22973755087413e-12
ENSG00000165072.12,214.119999401537,-2.48883507764085,0.323618365715316,-7.69064843442863,1.46391181356276e-14,5.17619025388708e-12
ENSG00000168003.21,677.875204961112,1.70989779024453,0.222477777813529,7.68570149814102,1.5216091203803e-14,5.20085997345988e-12
ENSG00000116133.15,2513.90413881809,-1.40663021472206,0.183396879645183,-7.66986994240831,1.72170835201308e-14,5.69496691662649e-12
ENSG00000140105.20,4913.8876390271,1.94041993343367,0.261156437454926,7.43010569581907,1.08510936087369e-13,3.47709730824964e-11
ENSG00000120802.17,560.894043579131,-1.60198031566874,0.221752961995324,-7.22416648352377,5.04184606184954e-13,1.56663907630925e-10
ENSG00000177469.15,287.369941754253,-2.38395454888591,0.330938242737414,-7.20362364037051,5.86330650565375e-13,1.76830426202863e-10
ENSG00000087074.11,534.335859851544,1.70241695719014,0.238241229767465,7.14576968416332,8.94930033520975e-13,2.62188930392117e-10
ENSG00000175197.14,154.672290606164,2.56960732282484,0.364188072627772,7.05571520858448,1.71715194513073e-12,4.89102112371402e-10
ENSG00000160145.17,49.561044838097,-4.58155111728974,0.663285499073537,-6.90735908396784,4.93759012640236e-12,1.36837970692243e-09
ENSG00000120437.11,738.42273893796,-1.48804108363662,0.215686535157371,-6.89909123233353,5.23362537988262e-12,1.37604088834145e-09
ENSG00000134333.17,2970.38719188628,-1.27345518272082,0.184528319921511,-6.90113681879556,5.15880160847734e-12,1.37604088834145e-09
ENSG00000137801.13,8724.50304696948,-1.85188257834892,0.270305916029503,-6.85106195806231,7.33037563775947e-12,1.87249992002164e-09
ENSG00000140941.16,525.044068883856,1.63287882970988,0.238444840733652,6.84803590082219,7.48707789359151e-12,1.87249992002164e-09
ENSG00000145604.19,1565.27463812057,-1.84914059650437,0.270817818391108,-6.82798719629997,8.61142698235942e-12,2.01099979510965e-09
ENSG00000196950.16,186.128397639355,-2.24840327935417,0.329306534682138,-6.82769104938785,8.62921698701235e-12,2.01099979510965e-09
ENSG00000198561.18,378.292489994075,-2.13238768643818,0.312267176375882,-6.82872824222608,8.56706851733837e-12,2.01099979510965e-09
ENSG00000011422.14,159.674768212571,2.32328791711078,0.342857529507681,6.77624878312241,1.23336227307342e-11,2.81042149957664e-09
ENSG00000135069.16,816.832675769874,1.38212584873739,0.205812662878383,6.71545583934308,1.87479200998762e-11,4.17915592835067e-09
ENSG00000109084.15,376.832253152125,-1.91091843475946,0.285848750109859,-6.68506835879131,2.30816875215962e-11,4.93082549680099e-09
ENSG00000161011.22,662.299716774044,1.45071198808594,0.216967215510601,6.68631887389948,2.28854082308514e-11,4.93082549680099e-09
ENSG00000130066.18,241.620396096634,1.97017650038999,0.297468070242618,6.62315286068551,3.51617071469242e-11,7.35812540988898e-09
ENSG00000137309.23,991.47328059704,1.35895074441382,0.205471891053813,6.61380365676348,3.74568482815723e-11,7.68165044558485e-09
ENSG00000101294.22,1050.05551998366,1.28993188614404,0.195452581401073,6.59971782873038,4.11941073526046e-11,8.28243876065898e-09
ENSG00000114019.17,329.855291036166,-1.79846775956758,0.274197197165595,-6.55903042831411,5.41587517582315e-11,1.06796892409405e-08
ENSG00000067064.14,343.20980637255,-1.73619421154047,0.266011032943329,-6.52677519548727,6.72007901542005e-11,1.30014509856825e-08
ENSG00000067445.24,279.739147399899,1.81752475189353,0.281801069979807,6.44967299813222,1.12091742253562e-10,2.12849763901486e-08
ENSG00000167552.18,569.313670685035,-1.43260658798705,0.222993016000863,-6.42444599243192,1.32350639079353e-10,2.46749718749034e-08
ENSG00000154096.16,686.4004294511,-1.37652102603344,0.214441865793201,-6.41908715418895,1.37093909578906e-10,2.5102874086109e-08
ENSG00000140416.28,727.348671800694,-1.33457272065189,0.211104792997817,-6.32184945542989,2.58451112950314e-10,4.6493994950746e-08
ENSG00000064666.17,272.968082710258,-1.76163371085024,0.282810456263137,-6.22902609092767,4.69343630470674e-10,8.14912404326599e-08
ENSG00000131459.15,108.860634602624,2.89911532025536,0.465566260363456,6.22707349538623,4.75228225408589e-10,8.14912404326599e-08
ENSG00000145012.17,618.979964730698,-1.55489494467185,0.249720374631727,-6.22654417752223,4.76835812947103e-10,8.14912404326599e-08
ENSG00000274779.4,78.0020960876587,-9.41780440496814,1.51645769259561,-6.21039706610499,5.2850886515503e-10,8.88414738245849e-08
ENSG00000242265.6,404.901168385476,-1.69460716429925,0.274250993685034,-6.17903746319854,6.44935919885624e-10,1.06664079395277e-07
ENSG00000026508.23,665.673181848623,1.40407448464972,0.227465633265125,6.1726884386671,6.71384340783189e-10,1.09275794133188e-07
ENSG00000187840.7,238.617137210999,1.8890522173789,0.308199996205228,6.12930642647054,8.8262988693073e-10,1.41413857196683e-07
ENSG00000151892.18,317.953994779442,-1.98524420095966,0.326185343714966,-6.08624586975448,1.15588892647806e-09,1.82345923878554e-07
ENSG00000128965.14,114.097231869825,2.75376908428695,0.459133801606142,5.99774853137302,2.00072021684976e-09,3.10839168236022e-07
ENSG00000212724.3,107.26530894343,2.57080565481067,0.433841865243823,5.92567444676152,3.11018212995257e-09,4.7599712776916e-07
ENSG00000108821.16,1515.28898439318,-1.35040637180428,0.228551663365957,-5.90853880438409,3.45155515788316e-09,5.20474214543146e-07
